"filename", "language", "Python", "JSON with Comments", "JavaScript", "Markdown", "TypeScript", "JSON", "SVG", "TypeScript JSX", "SCSS", "PostCSS", "comment", "blank", "total"
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Layers\Conv2D\Conv2D.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -134, 0, 0, -1, -13, -148
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Layers\Dense\Dense.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -330, 0, 0, -11, -26, -367
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Math\Vector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -119, 0, 0, -1, -15, -135
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Model\Model.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -217, 0, 0, -8, -18, -243
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Utility\Graph\Graph.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -296, 0, 0, -6, -36, -338
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Utility\LabelEncoding.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -130, 0, 0, 0, -19, -149
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Utility\Predict.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -74, 0, 0, -2, -8, -84
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Utility\Scaling.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -107, 0, 0, -3, -18, -128
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Utility\Shower.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -110, 0, 0, 0, -12, -122
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Assets\Utility\Terminal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -43, 0, 0, 0, -3, -46
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\Dropzone\Dropzone.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -39, 0, 0, 0, -4, -43
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\Graph\NodeGraph.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -77, 0, 0, -1, -5, -83
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\Header\NodeHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -99, 0, 0, 0, -8, -107
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\Select\Select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -50, 0, 0, 0, -4, -54
"c:\Users\zafir\OneDrive\TM_2025\tensorflow\client\components\shared\node\Layout\ShapeVZ\ShapeVZ.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, -266, 0, 0, -39, -71, -376
